# RadiaCode XML energy-recalibrated spectrum
# Calibration,E_keV = 5.151420584 + 2.431018093*c + 0.000374694301*c^2
# Channel indexing,zero-based RadiaCode XML channel index
# Name,RadiaCode-103
# SpectrumName,U-238 and U-235 Fiestaware Spectrum 21-06-2026
# SerialNumber,RC-103-006489
# StartTime,2026-06-21T18:26:22
# EndTime,2026-06-21T19:16:20
# MeasurementTime,2998
# NumberOfChannels,1024
# Original_XML_Calibration,E_keV = 8.0997305 + 2.35303*c + 0.0003807156*c^2

Energy_keV,Counts
893.831265,170
896.522696,165
899.214876,176
901.907805,174
904.601484,179
907.295912,154
909.991090,169
912.687017,143
915.383693,167
918.081119,170
920.779294,147
923.478218,154
926.177892,193
928.878315,138
931.579488,162
934.281410,161
936.984082,163
939.687503,151
942.391673,159
945.096592,175
947.802261,110
950.508680,153
953.215848,154
955.923765,138
958.632431,146
961.341847,148
964.052013,135
966.762927,128
969.474592,133
972.187005,132
974.900168,144
977.614080,150
980.328742,148
983.044153,147
985.760313,145
988.477223,135
991.194883,143
993.913291,135
996.632449,163
999.352357,139
1002.073013,158
1004.794420,139
1007.516575,157
1010.239480,134
1012.963134,146
1015.687538,129
1018.412691,136
1021.138594,121
1023.865246,118
1026.592647,115
1029.320798,111
1032.049698,119
1034.779347,113
1037.509746,110
1040.240894,115
1042.972792,130
1045.705439,124
1048.438835,117
1051.172981,108
1053.907876,106
1056.643521,106
1059.379915,118
1062.117058,108
1064.854951,92
1067.593593,107
1070.332984,91
1073.073125,108
1075.814016,103
1078.555655,94
1081.298044,89
1084.041183,94
1086.785071,87
1089.529708,81
1092.275094,110
1095.021230,90
1097.768116,87
1100.515751,71
1103.264135,74
1106.013268,80
1108.763151,79
1111.513784,82
1114.265165,80
1117.017296,78
1119.770177,84
1122.523807,81
1125.278186,90
1128.033315,83
1130.789193,61
1133.545820,60
1136.303197,61
1139.061323,85
1141.820199,84
1144.579824,68
1147.340198,76
1150.101322,65
1152.863195,75
1155.625818,69
1158.389190,74
1161.153311,81
1163.918182,62
1166.683802,70
1169.450171,66
1172.217290,59
1174.985158,54
1177.753776,52
1180.523143,66
1183.293260,55
1186.064125,62
1188.835741,42
1191.608105,64
1194.381219,68
1197.155083,58
1199.929695,42
1202.705057,54
1205.481169,55
1208.258030,46
1211.035640,52
1213.814000,61
1216.593109,59
1219.372968,49
1222.153575,55
1224.934933,52
1227.717039,50
1230.499895,42
1233.283501,52
1236.067856,49
1238.852960,48
1241.638813,38
1244.425416,46
1247.212769,45
1250.000871,47
1252.789722,43
1255.579322,44
1258.369672,30
1261.160771,46
1263.952620,41
1266.745218,44
1269.538566,38
1272.332663,38
1275.127509,44
1277.923105,38
1280.719450,24
1283.516544,34
1286.314388,41
1289.112981,27
1291.912324,36
1294.712416,41
1297.513257,32
1300.314848,22
1303.117188,36
1305.920277,31
1308.724116,38
1311.528705,32
1314.334042,33
1317.140129,29
1319.946966,33
1322.754552,24
1325.562887,33
1328.371972,33
1331.181806,22
1333.992389,34
1336.803722,30
1339.615804,33
1342.428636,21
1345.242217,20
1348.056547,29
1350.871627,20
1353.687456,31
1356.504034,24
1359.321362,17
1362.139440,24
1364.958266,23
1367.777842,28
1370.598168,19
1373.419243,18
1376.241067,23
1379.063641,20
1381.886964,15
1384.711036,27
1387.535858,19
1390.361429,27
1393.187750,15
1396.014820,17
1398.842639,20
1401.671208,22
1404.500526,20
1407.330593,11
1410.161410,10
1412.992977,12
1415.825292,15
1418.658357,13
1421.492172,22
1424.326736,15
1427.162049,23
1429.998112,18
1432.834924,20
1435.672485,10
1438.510796,23
1441.349856,11
1444.189666,18
1447.030225,7
1449.871533,11
1452.713591,13
1455.556398,13
1458.399954,6
1461.244260,11
1464.089316,16
1466.935120,16
1469.781674,9
1472.628978,14
1475.477031,10
1478.325833,14
1481.175384,13
1484.025685,10
1486.876736,17
1489.728536,13
1492.581085,14
1495.434383,11
1498.288431,10
1501.143229,9
1503.998775,10
1506.855072,6
1509.712117,8
1512.569912,10
1515.428456,4
1518.287750,9
1521.147793,10
1524.008585,6
1526.870127,6
1529.732419,10
1532.595459,4
1535.459249,3
1538.323789,8
1541.189077,3
1544.055116,4
1546.921903,5
1549.789440,11
1552.657726,7
1555.526762,4
1558.396547,6
1561.267082,2
1564.138366,3
1567.010399,5
1569.883182,2
1572.756714,7
1575.630995,9
1578.506026,2
1581.381806,7
1584.258336,3
1587.135615,6
1590.013643,3
1592.892421,8
1595.771948,3
1598.652225,6
1601.533251,1
1604.415026,11
1607.297551,6
1610.180825,9
1613.064848,1
1615.949621,5
1618.835144,3
1621.721415,1
1624.608436,4
1627.496207,3
1630.384727,3
1633.273996,6
1636.164014,0
1639.054782,3
1641.946300,2
1644.838567,1
1647.731583,1
1650.625348,3
1653.519863,1
1656.415128,3
1659.311141,2
1662.207904,1
1665.105417,4
1668.003679,1
1670.902690,2
1673.802451,2
1676.702961,3
1679.604220,2
1682.506229,1
1685.408987,2
1688.312495,2
1691.216752,1
1694.121758,2
1697.027514,1
1699.934019,1
1702.841274,4
1705.749278,3
1708.658031,0
1711.567534,0
1714.477786,0
1717.388787,3
1720.300538,0
1723.213038,2
1726.126288,1
1729.040287,0
1731.955036,0
1734.870533,1
1737.786781,1
1740.703777,0
1743.621523,2
1746.540019,0
1749.459263,0
1752.379258,3
1755.300001,0
1758.221494,0
1761.143736,1
1764.066728,1
1766.990469,2
1769.914960,2
1772.840199,1
1775.766189,2
1778.692927,2
1781.620415,3
1784.548653,3
1787.477640,1
1790.407376,1
1793.337861,1
1796.269096,1
1799.201081,0
1802.133815,0
1805.067298,1
1808.001530,1
1810.936512,1
1813.872244,3
1816.808724,0
1819.745954,1
1822.683934,0
1825.622663,1
1828.562141,1
1831.502369,0
1834.443346,0
1837.385072,0
1840.327548,0
1843.270773,0
1846.214748,0
1849.159472,0
1852.104945,0
1855.051168,0
1857.998140,1
1860.945861,1
1863.894332,0
1866.843553,0
1869.793522,0
1872.744241,1
1875.695710,2
1878.647928,0
1881.600895,0
1884.554612,0
1887.509078,0
1890.464293,1
1893.420258,2
1896.376972,0
1899.334436,1
1902.292649,0
1905.251611,3
1908.211323,1
1911.171784,1
1914.132995,0
1917.094954,0
1920.057664,0
1923.021122,1
1925.985331,2
1928.950288,0
1931.915995,0
1934.882451,2
1937.849657,0
1940.817612,0
1943.786316,0
1946.755770,2
1949.725973,1
1952.696926,0
1955.668628,1
1958.641079,0
1961.614280,1
1964.588230,0
1967.562929,0
1970.538378,1
1973.514577,1
1976.491524,0
1979.469221,2
1982.447668,1
1985.426864,1
1988.406809,3
1991.387504,0
1994.368948,0
1997.351141,0
2000.334084,0
2003.317776,0
2006.302218,0
2009.287409,0
2012.273349,0
2015.260039,0
2018.247478,0
2021.235666,0
2024.224604,0
2027.214292,0
2030.204728,0
2033.195914,0
2036.187850,0
2039.180535,0
2042.173969,0
2045.168153,2
2048.163086,0
2051.158768,0
2054.155200,0
2057.152381,0
2060.150311,0
2063.148991,0
2066.148421,1
2069.148600,0
2072.149528,0
2075.151205,0
2078.153632,0
2081.156808,0
2084.160734,0
2087.165409,0
2090.170834,0
2093.177007,0
2096.183931,1
2099.191603,0
2102.200025,0
2105.209197,0
2108.219117,0
2111.229788,0
2114.241207,0
2117.253376,0
2120.266294,0
2123.279962,0
2126.294379,2
2129.309546,0
2132.325462,0
2135.342127,0
2138.359542,0
2141.377706,0
2144.396619,0
2147.416282,0
2150.436694,0
2153.457856,0
2156.479767,1
2159.502427,0
2162.525837,0
2165.549996,0
2168.574905,0
2171.600563,0
2174.626970,0
2177.654127,0
2180.682033,1
2183.710688,1
2186.740093,0
2189.770248,1
2192.801151,1
2195.832804,0
2198.865207,0
2201.898359,0
2204.932260,0
2207.966910,0
2211.002310,0
2214.038460,0
2217.075359,0
2220.113007,0
2223.151404,1
2226.190551,0
2229.230448,0
2232.271093,0
2235.312488,1
2238.354633,0
2241.397527,0
2244.441170,0
2247.485563,1
2250.530705,0
2253.576596,0
2256.623237,2
2259.670627,0
2262.718767,0
2265.767656,0
2268.817294,0
2271.867682,0
2274.918819,0
2277.970706,0
2281.023342,0
2284.076727,0
2287.130862,1
2290.185746,1
2293.241379,0
2296.297762,0
2299.354895,0
2302.412776,0
2305.471407,0
2308.530788,1
2311.590917,0
2314.651797,0
2317.713425,1
2320.775803,0
2323.838931,2
2326.902807,1
2329.967434,0
2333.032809,0
2336.098934,0
2339.165808,0
2342.233432,0
2345.301805,0
2348.370928,0
2351.440800,0
2354.511421,0
2357.582791,0
2360.654912,0
2363.727781,0
2366.801400,0
2369.875768,0
2372.950886,0
2376.026753,0
2379.103369,0
2382.180735,1
2385.258850,0
2388.337714,0
2391.417328,1
2394.497692,0
2397.578804,1
2400.660666,1
2403.743278,0
2406.826639,0
2409.910749,0
2412.995609,0
2416.081218,0
2419.167576,0
2422.254684,0
2425.342541,0
2428.431148,0
2431.520504,0
2434.610609,0
2437.701464,0
2440.793068,0
2443.885422,0
2446.978524,0
2450.072377,0
2453.166978,0
2456.262330,0
2459.358430,1
2462.455280,0
2465.552879,0
2468.651228,0
2471.750326,0
2474.850173,0
2477.950770,0
2481.052116,0
2484.154212,0
2487.257057,0
2490.360651,0
2493.464995,0
2496.570088,0
2499.675931,0
2502.782523,0
2505.889864,0
2508.997955,0
2512.106795,1
2515.216384,0
2518.326723,0
2521.437811,0
2524.549649,0
2527.662236,0
2530.775572,0
2533.889658,0
2537.004493,0
2540.120078,0
2543.236412,0
2546.353495,0
2549.471328,0
2552.589910,0
2555.709242,0
2558.829323,0
2561.950153,0
2565.071733,0
2568.194062,0
2571.317140,0
2574.440968,0
2577.565545,0
2580.690872,0
2583.816948,0
2586.943773,0
2590.071348,0
2593.199672,0
2596.328746,0
2599.458569,1
2602.589141,0
2605.720463,0
2608.852534,0
2611.985354,0
2615.118924,0
2618.253244,0
2621.388312,0
2624.524130,0
2627.660698,0
2630.798015,0
2633.936081,1
2637.074897,0
2640.214462,0
2643.354776,0
2646.495840,0
2649.637653,0
2652.780216,0
2655.923528,1
2659.067589,0
2662.212400,0
2665.357960,0
2668.504269,0
2671.651328,0
2674.799136,0
2677.947694,1
2681.097001,0
2684.247058,0
2687.397864,0
2690.549419,0
2693.701723,1
2696.854777,0
2700.008581,0
2703.163134,0
2706.318436,0
2709.474487,0
2712.631288,0
2715.788839,0
2718.947138,0
2722.106187,0
2725.265986,0
2728.426534,0
2731.587831,0
2734.749878,0
2737.912674,0
2741.076219,0
2744.240514,0
2747.405558,0
2750.571352,0
2753.737895,0
2756.905187,0
2760.073229,0
2763.242020,0
2766.411561,0
2769.581851,0
2772.752890,0
2775.924679,0
2779.097217,0
2782.270505,0
2785.444541,0
2788.619328,0
2791.794863,0
2794.971148,0
2798.148183,0
2801.325967,0
2804.504500,1
2807.683783,0
2810.863815,0
2814.044596,0
2817.226127,0
2820.408407,0
2823.591436,0
2826.775215,0
2829.959744,0
2833.145021,0
2836.331049,0
2839.517825,0
2842.705351,0
2845.893626,0
2849.082651,0
2852.272425,0
2855.462948,0
2858.654221,0
2861.846243,0
2865.039015,0
2868.232536,0
2871.426806,0
2874.621826,0
2877.817595,0
2881.014114,0
2884.211382,76
