# RadiaCode XML energy-recalibrated spectrum
# Calibration,E_keV = 5.151420584 + 2.431018093*c + 0.000374694301*c^2
# Channel indexing,zero-based RadiaCode XML channel index
# Name,RadiaCode-103
# SpectrumName,Ra-226 Spectrum 21-06-2026
# SerialNumber,RC-103-006489
# StartTime,2026-06-21T18:12:40
# EndTime,2026-06-21T18:24:47
# MeasurementTime,727
# NumberOfChannels,1024
# Original_XML_Calibration,E_keV = 8.0997305 + 2.35303*c + 0.0003807156*c^2

Energy_keV,Counts
856.229922,463
858.910861,474
861.592550,465
864.274988,422
866.958175,442
869.642112,420
872.326798,444
875.012233,467
877.698418,413
880.385353,454
883.073036,474
885.761469,420
888.450652,430
891.140584,412
893.831265,450
896.522696,453
899.214876,458
901.907805,408
904.601484,416
907.295912,414
909.991090,405
912.687017,417
915.383693,409
918.081119,381
920.779294,406
923.478218,395
926.177892,404
928.878315,412
931.579488,413
934.281410,401
936.984082,381
939.687503,359
942.391673,366
945.096592,369
947.802261,374
950.508680,330
953.215848,345
955.923765,347
958.632431,354
961.341847,352
964.052013,316
966.762927,332
969.474592,346
972.187005,329
974.900168,320
977.614080,334
980.328742,294
983.044153,303
985.760313,293
988.477223,326
991.194883,329
993.913291,301
996.632449,288
999.352357,285
1002.073013,308
1004.794420,344
1007.516575,300
1010.239480,274
1012.963134,318
1015.687538,294
1018.412691,278
1021.138594,276
1023.865246,288
1026.592647,294
1029.320798,284
1032.049698,292
1034.779347,303
1037.509746,299
1040.240894,260
1042.972792,309
1045.705439,320
1048.438835,276
1051.172981,287
1053.907876,322
1056.643521,293
1059.379915,297
1062.117058,298
1064.854951,302
1067.593593,308
1070.332984,312
1073.073125,327
1075.814016,331
1078.555655,346
1081.298044,336
1084.041183,339
1086.785071,365
1089.529708,342
1092.275094,358
1095.021230,334
1097.768116,385
1100.515751,372
1103.264135,403
1106.013268,364
1108.763151,403
1111.513784,418
1114.265165,366
1117.017296,396
1119.770177,415
1122.523807,405
1125.278186,392
1128.033315,416
1130.789193,384
1133.545820,391
1136.303197,370
1139.061323,350
1141.820199,351
1144.579824,343
1147.340198,359
1150.101322,353
1152.863195,308
1155.625818,310
1158.389190,303
1161.153311,315
1163.918182,286
1166.683802,289
1169.450171,277
1172.217290,283
1174.985158,297
1177.753776,257
1180.523143,273
1183.293260,266
1186.064125,285
1188.835741,278
1191.608105,222
1194.381219,253
1197.155083,244
1199.929695,253
1202.705057,233
1205.481169,250
1208.258030,272
1211.035640,247
1213.814000,245
1216.593109,242
1219.372968,242
1222.153575,218
1224.934933,267
1227.717039,238
1230.499895,227
1233.283501,235
1236.067856,220
1238.852960,262
1241.638813,253
1244.425416,247
1247.212769,230
1250.000871,235
1252.789722,246
1255.579322,241
1258.369672,221
1261.160771,224
1263.952620,221
1266.745218,228
1269.538566,222
1272.332663,232
1275.127509,241
1277.923105,229
1280.719450,219
1283.516544,199
1286.314388,201
1289.112981,217
1291.912324,206
1294.712416,189
1297.513257,199
1300.314848,215
1303.117188,205
1305.920277,179
1308.724116,197
1311.528705,181
1314.334042,179
1317.140129,188
1319.946966,183
1322.754552,176
1325.562887,170
1328.371972,170
1331.181806,204
1333.992389,188
1336.803722,152
1339.615804,217
1342.428636,181
1345.242217,164
1348.056547,175
1350.871627,179
1353.687456,186
1356.504034,199
1359.321362,217
1362.139440,210
1364.958266,215
1367.777842,198
1370.598168,179
1373.419243,218
1376.241067,185
1379.063641,208
1381.886964,202
1384.711036,210
1387.535858,214
1390.361429,184
1393.187750,232
1396.014820,217
1398.842639,166
1401.671208,208
1404.500526,205
1407.330593,200
1410.161410,200
1412.992977,193
1415.825292,198
1418.658357,188
1421.492172,201
1424.326736,190
1427.162049,206
1429.998112,201
1432.834924,165
1435.672485,183
1438.510796,182
1441.349856,155
1444.189666,185
1447.030225,164
1449.871533,187
1452.713591,166
1455.556398,164
1458.399954,165
1461.244260,176
1464.089316,151
1466.935120,160
1469.781674,144
1472.628978,180
1475.477031,152
1478.325833,149
1481.175384,133
1484.025685,158
1486.876736,163
1489.728536,142
1492.581085,143
1495.434383,136
1498.288431,108
1501.143229,156
1503.998775,132
1506.855072,134
1509.712117,141
1512.569912,131
1515.428456,107
1518.287750,142
1521.147793,103
1524.008585,132
1526.870127,126
1529.732419,103
1532.595459,116
1535.459249,106
1538.323789,91
1541.189077,105
1544.055116,94
1546.921903,102
1549.789440,119
1552.657726,70
1555.526762,80
1558.396547,92
1561.267082,105
1564.138366,98
1567.010399,82
1569.883182,98
1572.756714,100
1575.630995,90
1578.506026,88
1581.381806,87
1584.258336,80
1587.135615,80
1590.013643,91
1592.892421,92
1595.771948,85
1598.652225,85
1601.533251,68
1604.415026,68
1607.297551,76
1610.180825,81
1613.064848,75
1615.949621,78
1618.835144,79
1621.721415,61
1624.608436,75
1627.496207,62
1630.384727,67
1633.273996,69
1636.164014,76
1639.054782,74
1641.946300,72
1644.838567,70
1647.731583,69
1650.625348,73
1653.519863,63
1656.415128,67
1659.311141,77
1662.207904,52
1665.105417,83
1668.003679,70
1670.902690,65
1673.802451,61
1676.702961,69
1679.604220,67
1682.506229,79
1685.408987,74
1688.312495,77
1691.216752,89
1694.121758,72
1697.027514,86
1699.934019,82
1702.841274,71
1705.749278,86
1708.658031,72
1711.567534,86
1714.477786,81
1717.388787,77
1720.300538,74
1723.213038,86
1726.126288,95
1729.040287,99
1731.955036,97
1734.870533,104
1737.786781,92
1740.703777,96
1743.621523,92
1746.540019,87
1749.459263,97
1752.379258,111
1755.300001,91
1758.221494,122
1761.143736,128
1764.066728,116
1766.990469,100
1769.914960,85
1772.840199,107
1775.766189,105
1778.692927,103
1781.620415,90
1784.548653,98
1787.477640,78
1790.407376,100
1793.337861,97
1796.269096,100
1799.201081,76
1802.133815,90
1805.067298,71
1808.001530,53
1810.936512,70
1813.872244,66
1816.808724,59
1819.745954,61
1822.683934,63
1825.622663,52
1828.562141,50
1831.502369,57
1834.443346,61
1837.385072,56
1840.327548,61
1843.270773,47
1846.214748,57
1849.159472,39
1852.104945,44
1855.051168,49
1857.998140,51
1860.945861,56
1863.894332,53
1866.843553,43
1869.793522,47
1872.744241,36
1875.695710,48
1878.647928,43
1881.600895,38
1884.554612,44
1887.509078,34
1890.464293,47
1893.420258,31
1896.376972,49
1899.334436,36
1902.292649,35
1905.251611,39
1908.211323,29
1911.171784,35
1914.132995,27
1917.094954,42
1920.057664,25
1923.021122,33
1925.985331,28
1928.950288,21
1931.915995,32
1934.882451,30
1937.849657,30
1940.817612,24
1943.786316,25
1946.755770,27
1949.725973,39
1952.696926,19
1955.668628,23
1958.641079,23
1961.614280,33
1964.588230,24
1967.562929,39
1970.538378,30
1973.514577,23
1976.491524,25
1979.469221,33
1982.447668,22
1985.426864,19
1988.406809,20
1991.387504,18
1994.368948,16
1997.351141,10
2000.334084,20
2003.317776,17
2006.302218,21
2009.287409,18
2012.273349,14
2015.260039,15
2018.247478,16
2021.235666,20
2024.224604,15
2027.214292,10
2030.204728,14
2033.195914,18
2036.187850,12
2039.180535,10
2042.173969,11
2045.168153,10
2048.163086,14
2051.158768,13
2054.155200,12
2057.152381,18
2060.150311,18
2063.148991,17
2066.148421,8
2069.148600,6
2072.149528,15
2075.151205,12
2078.153632,13
2081.156808,6
2084.160734,14
2087.165409,11
2090.170834,20
2093.177007,16
2096.183931,23
2099.191603,12
2102.200025,14
2105.209197,8
2108.219117,9
2111.229788,12
2114.241207,15
2117.253376,13
2120.266294,11
2123.279962,12
2126.294379,13
2129.309546,11
2132.325462,9
2135.342127,10
2138.359542,13
2141.377706,18
2144.396619,16
2147.416282,20
2150.436694,22
2153.457856,16
2156.479767,22
2159.502427,24
2162.525837,21
2165.549996,18
2168.574905,11
2171.600563,8
2174.626970,17
2177.654127,21
2180.682033,17
2183.710688,13
2186.740093,18
2189.770248,14
2192.801151,14
2195.832804,22
2198.865207,19
2201.898359,22
2204.932260,11
2207.966910,20
2211.002310,12
2214.038460,16
2217.075359,13
2220.113007,12
2223.151404,16
2226.190551,8
2229.230448,11
2232.271093,14
2235.312488,10
2238.354633,11
2241.397527,11
2244.441170,9
2247.485563,12
2250.530705,10
2253.576596,9
2256.623237,9
2259.670627,6
2262.718767,7
2265.767656,2
2268.817294,9
2271.867682,7
2274.918819,4
2277.970706,4
2281.023342,5
2284.076727,4
2287.130862,4
2290.185746,5
2293.241379,3
2296.297762,5
2299.354895,3
2302.412776,7
2305.471407,9
2308.530788,5
2311.590917,4
2314.651797,6
2317.713425,3
2320.775803,7
2323.838931,8
2326.902807,2
2329.967434,3
2333.032809,5
2336.098934,4
2339.165808,6
2342.233432,1
2345.301805,1
2348.370928,0
2351.440800,6
2354.511421,2
2357.582791,2
2360.654912,5
2363.727781,2
2366.801400,3
2369.875768,3
2372.950886,4
2376.026753,1
2379.103369,1
2382.180735,0
2385.258850,5
2388.337714,3
2391.417328,2
2394.497692,4
2397.578804,1
2400.660666,7
2403.743278,3
2406.826639,5
2409.910749,5
2412.995609,3
2416.081218,4
2419.167576,4
2422.254684,3
2425.342541,1
2428.431148,6
2431.520504,2
2434.610609,3
2437.701464,5
2440.793068,3
2443.885422,2
2446.978524,5
2450.072377,2
2453.166978,2
2456.262330,3
2459.358430,4
2462.455280,3
2465.552879,1
2468.651228,4
2471.750326,2
2474.850173,0
2477.950770,4
2481.052116,5
2484.154212,3
2487.257057,0
2490.360651,3
2493.464995,3
2496.570088,2
2499.675931,1
2502.782523,2
2505.889864,3
2508.997955,1
2512.106795,0
2515.216384,0
2518.326723,3
2521.437811,3
2524.549649,3
2527.662236,1
2530.775572,0
2533.889658,2
2537.004493,3
2540.120078,2
2543.236412,3
2546.353495,0
2549.471328,3
2552.589910,0
2555.709242,2
2558.829323,1
2561.950153,0
2565.071733,1
2568.194062,0
2571.317140,1
2574.440968,2
2577.565545,0
2580.690872,2
2583.816948,0
2586.943773,1
2590.071348,2
2593.199672,2
2596.328746,0
2599.458569,1
2602.589141,1
2605.720463,0
2608.852534,0
2611.985354,1
2615.118924,0
2618.253244,1
2621.388312,0
2624.524130,0
2627.660698,1
2630.798015,0
2633.936081,1
2637.074897,1
2640.214462,1
2643.354776,1
2646.495840,0
2649.637653,0
2652.780216,2
2655.923528,0
2659.067589,0
2662.212400,1
2665.357960,1
2668.504269,0
2671.651328,1
2674.799136,0
2677.947694,0
2681.097001,1
2684.247058,0
2687.397864,0
2690.549419,0
2693.701723,0
2696.854777,1
2700.008581,0
2703.163134,0
2706.318436,0
2709.474487,0
2712.631288,1
2715.788839,0
2718.947138,0
2722.106187,0
2725.265986,0
2728.426534,1
2731.587831,1
2734.749878,1
2737.912674,0
2741.076219,1
2744.240514,0
2747.405558,0
2750.571352,0
2753.737895,0
2756.905187,0
2760.073229,0
2763.242020,0
2766.411561,1
2769.581851,0
2772.752890,0
2775.924679,1
2779.097217,0
2782.270505,0
2785.444541,0
2788.619328,0
2791.794863,0
2794.971148,0
2798.148183,0
2801.325967,0
2804.504500,0
2807.683783,0
2810.863815,0
2814.044596,0
2817.226127,0
2820.408407,0
2823.591436,0
2826.775215,0
2829.959744,0
2833.145021,0
2836.331049,0
2839.517825,0
2842.705351,0
2845.893626,0
2849.082651,0
2852.272425,0
2855.462948,0
2858.654221,0
2861.846243,0
2865.039015,0
2868.232536,0
2871.426806,0
2874.621826,0
2877.817595,0
2881.014114,1
2884.211382,35
