# RadiaCode XML energy-recalibrated spectrum
# Calibration,E_keV = 5.151420584 + 2.431018093*c + 0.000374694301*c^2
# Channel indexing,zero-based RadiaCode XML channel index
# Name,RadiaCode-103
# SpectrumName,Am-241 Spectrum 21-06-2026
# SerialNumber,RC-103-006489
# StartTime,2026-06-21T18:01:58
# EndTime,2026-06-21T18:10:50
# MeasurementTime,532
# NumberOfChannels,1024
# Original_XML_Calibration,E_keV = 8.0997305 + 2.35303*c + 0.0003807156*c^2

Energy_keV,Counts
923.478218,2
926.177892,0
928.878315,0
931.579488,0
934.281410,0
936.984082,1
939.687503,1
942.391673,2
945.096592,2
947.802261,0
950.508680,0
953.215848,1
955.923765,0
958.632431,1
961.341847,0
964.052013,0
966.762927,0
969.474592,0
972.187005,0
974.900168,0
977.614080,1
980.328742,0
983.044153,1
985.760313,0
988.477223,0
991.194883,0
993.913291,0
996.632449,0
999.352357,3
1002.073013,0
1004.794420,0
1007.516575,0
1010.239480,0
1012.963134,0
1015.687538,1
1018.412691,1
1021.138594,0
1023.865246,0
1026.592647,0
1029.320798,0
1032.049698,0
1034.779347,1
1037.509746,0
1040.240894,0
1042.972792,0
1045.705439,0
1048.438835,0
1051.172981,0
1053.907876,0
1056.643521,0
1059.379915,0
1062.117058,0
1064.854951,0
1067.593593,0
1070.332984,1
1073.073125,0
1075.814016,0
1078.555655,0
1081.298044,1
1084.041183,0
1086.785071,0
1089.529708,1
1092.275094,0
1095.021230,0
1097.768116,0
1100.515751,0
1103.264135,1
1106.013268,1
1108.763151,0
1111.513784,0
1114.265165,0
1117.017296,0
1119.770177,0
1122.523807,0
1125.278186,0
1128.033315,0
1130.789193,1
1133.545820,1
1136.303197,0
1139.061323,0
1141.820199,0
1144.579824,0
1147.340198,0
1150.101322,0
1152.863195,0
1155.625818,0
1158.389190,0
1161.153311,2
1163.918182,0
1166.683802,1
1169.450171,0
1172.217290,0
1174.985158,0
1177.753776,0
1180.523143,0
1183.293260,0
1186.064125,0
1188.835741,0
1191.608105,2
1194.381219,0
1197.155083,0
1199.929695,0
1202.705057,0
1205.481169,0
1208.258030,0
1211.035640,0
1213.814000,0
1216.593109,0
1219.372968,0
1222.153575,0
