# RadiaCode XML energy-recalibrated spectrum
# Calibration,E_keV = 5.151420584 + 2.431018093*c + 0.000374694301*c^2
# Channel indexing,zero-based RadiaCode XML channel index
# Name,RadiaCode-103
# SpectrumName,Th 232 - 1 hour Spectrum 21-06-2026
# SerialNumber,RC-103-006489
# StartTime,2026-06-21T16:38:58
# EndTime,2026-06-21T17:40:48
# MeasurementTime,3710
# NumberOfChannels,1024
# Original_XML_Calibration,E_keV = 8.0997305 + 2.35303*c + 0.0003807156*c^2

Energy_keV,Counts
877.698418,214
880.385353,230
883.073036,255
885.761469,249
888.450652,230
891.140584,265
893.831265,273
896.522696,259
899.214876,279
901.907805,265
904.601484,277
907.295912,270
909.991090,265
912.687017,248
915.383693,251
918.081119,315
920.779294,294
923.478218,253
926.177892,232
928.878315,251
931.579488,228
934.281410,260
936.984082,276
939.687503,214
942.391673,271
945.096592,237
947.802261,235
950.508680,232
953.215848,221
955.923765,250
958.632431,207
961.341847,217
964.052013,218
966.762927,201
969.474592,212
972.187005,191
974.900168,169
977.614080,185
980.328742,187
983.044153,190
985.760313,200
988.477223,159
991.194883,146
993.913291,154
996.632449,158
999.352357,150
1002.073013,131
1004.794420,150
1007.516575,150
1010.239480,112
1012.963134,122
1015.687538,104
1018.412691,125
1021.138594,109
1023.865246,119
1026.592647,98
1029.320798,97
1032.049698,109
1034.779347,87
1037.509746,81
1040.240894,101
1042.972792,73
1045.705439,101
1048.438835,62
1051.172981,84
1053.907876,84
1056.643521,84
1059.379915,91
1062.117058,74
1064.854951,88
1067.593593,91
1070.332984,84
1073.073125,77
1075.814016,81
1078.555655,81
1081.298044,67
1084.041183,81
1086.785071,84
1089.529708,85
1092.275094,64
1095.021230,78
1097.768116,74
1100.515751,103
1103.264135,70
1106.013268,75
1108.763151,73
1111.513784,73
1114.265165,84
1117.017296,65
1119.770177,59
1122.523807,58
1125.278186,68
1128.033315,61
1130.789193,78
1133.545820,65
1136.303197,74
1139.061323,71
1141.820199,70
1144.579824,57
1147.340198,61
1150.101322,69
1152.863195,65
1155.625818,87
1158.389190,72
1161.153311,66
1163.918182,60
1166.683802,64
1169.450171,74
1172.217290,61
1174.985158,67
1177.753776,62
1180.523143,65
1183.293260,66
1186.064125,61
1188.835741,47
1191.608105,48
1194.381219,64
1197.155083,51
1199.929695,61
1202.705057,43
1205.481169,57
1208.258030,57
1211.035640,47
1213.814000,56
1216.593109,51
1219.372968,62
1222.153575,66
1224.934933,70
1227.717039,70
1230.499895,66
1233.283501,53
1236.067856,47
1238.852960,58
1241.638813,55
1244.425416,79
1247.212769,62
1250.000871,55
1252.789722,57
1255.579322,66
1258.369672,41
1261.160771,48
1263.952620,47
1266.745218,60
1269.538566,67
1272.332663,66
1275.127509,61
1277.923105,52
1280.719450,57
1283.516544,49
1286.314388,44
1289.112981,78
1291.912324,60
1294.712416,70
1297.513257,49
1300.314848,57
1303.117188,45
1305.920277,56
1308.724116,28
1311.528705,51
1314.334042,57
1317.140129,43
1319.946966,41
1322.754552,53
1325.562887,47
1328.371972,34
1331.181806,49
1333.992389,50
1336.803722,39
1339.615804,51
1342.428636,37
1345.242217,50
1348.056547,43
1350.871627,52
1353.687456,61
1356.504034,39
1359.321362,43
1362.139440,63
1364.958266,43
1367.777842,54
1370.598168,41
1373.419243,45
1376.241067,42
1379.063641,63
1381.886964,45
1384.711036,39
1387.535858,48
1390.361429,36
1393.187750,38
1396.014820,45
1398.842639,44
1401.671208,40
1404.500526,40
1407.330593,46
1410.161410,35
1412.992977,42
1415.825292,33
1418.658357,38
1421.492172,42
1424.326736,44
1427.162049,40
1429.998112,34
1432.834924,37
1435.672485,39
1438.510796,38
1441.349856,49
1444.189666,42
1447.030225,52
1449.871533,34
1452.713591,25
1455.556398,35
1458.399954,47
1461.244260,34
1464.089316,49
1466.935120,49
1469.781674,37
1472.628978,35
1475.477031,49
1478.325833,40
1481.175384,41
1484.025685,40
1486.876736,34
1489.728536,44
1492.581085,46
1495.434383,42
1498.288431,51
1501.143229,34
1503.998775,52
1506.855072,41
1509.712117,52
1512.569912,50
1515.428456,39
1518.287750,54
1521.147793,49
1524.008585,29
1526.870127,48
1529.732419,48
1532.595459,28
1535.459249,60
1538.323789,53
1541.189077,59
1544.055116,70
1546.921903,63
1549.789440,74
1552.657726,76
1555.526762,92
1558.396547,58
1561.267082,87
1564.138366,77
1567.010399,78
1569.883182,64
1572.756714,71
1575.630995,100
1578.506026,84
1581.381806,80
1584.258336,80
1587.135615,82
1590.013643,72
1592.892421,85
1595.771948,81
1598.652225,92
1601.533251,88
1604.415026,73
1607.297551,78
1610.180825,88
1613.064848,73
1615.949621,69
1618.835144,59
1621.721415,59
1624.608436,57
1627.496207,60
1630.384727,57
1633.273996,56
1636.164014,51
1639.054782,48
1641.946300,37
1644.838567,66
1647.731583,48
1650.625348,40
1653.519863,53
1656.415128,44
1659.311141,44
1662.207904,38
1665.105417,46
1668.003679,33
1670.902690,39
1673.802451,29
1676.702961,44
1679.604220,37
1682.506229,39
1685.408987,33
1688.312495,36
1691.216752,40
1694.121758,26
1697.027514,31
1699.934019,27
1702.841274,39
1705.749278,33
1708.658031,32
1711.567534,37
1714.477786,35
1717.388787,29
1720.300538,28
1723.213038,28
1726.126288,29
1729.040287,31
1731.955036,36
1734.870533,33
1737.786781,29
1740.703777,31
1743.621523,39
1746.540019,25
1749.459263,28
1752.379258,31
1755.300001,31
1758.221494,34
1761.143736,34
1764.066728,29
1766.990469,29
1769.914960,33
1772.840199,29
1775.766189,32
1778.692927,32
1781.620415,32
1784.548653,35
1787.477640,31
1790.407376,22
1793.337861,29
1796.269096,38
1799.201081,19
1802.133815,38
1805.067298,33
1808.001530,31
1810.936512,27
1813.872244,29
1816.808724,32
1819.745954,37
1822.683934,33
1825.622663,27
1828.562141,34
1831.502369,41
1834.443346,35
1837.385072,24
1840.327548,31
1843.270773,31
1846.214748,27
1849.159472,31
1852.104945,34
1855.051168,28
1857.998140,27
1860.945861,34
1863.894332,23
1866.843553,39
1869.793522,24
1872.744241,34
1875.695710,25
1878.647928,38
1881.600895,35
1884.554612,35
1887.509078,30
1890.464293,29
1893.420258,28
1896.376972,33
1899.334436,25
1902.292649,26
1905.251611,27
1908.211323,35
1911.171784,21
1914.132995,28
1917.094954,32
1920.057664,26
1923.021122,33
1925.985331,31
1928.950288,38
1931.915995,31
1934.882451,30
1937.849657,43
1940.817612,29
1943.786316,22
1946.755770,23
1949.725973,35
1952.696926,18
1955.668628,23
1958.641079,29
1961.614280,32
1964.588230,28
1967.562929,29
1970.538378,31
1973.514577,27
1976.491524,34
1979.469221,26
1982.447668,27
1985.426864,16
1988.406809,33
1991.387504,36
1994.368948,22
1997.351141,25
2000.334084,27
2003.317776,30
2006.302218,33
2009.287409,26
2012.273349,38
2015.260039,29
2018.247478,27
2021.235666,33
2024.224604,35
2027.214292,34
2030.204728,22
2033.195914,24
2036.187850,29
2039.180535,40
2042.173969,27
2045.168153,25
2048.163086,22
2051.158768,30
2054.155200,27
2057.152381,25
2060.150311,34
2063.148991,39
2066.148421,35
2069.148600,29
2072.149528,29
2075.151205,27
2078.153632,23
2081.156808,28
2084.160734,24
2087.165409,32
2090.170834,39
2093.177007,31
2096.183931,39
2099.191603,40
2102.200025,30
2105.209197,34
2108.219117,31
2111.229788,35
2114.241207,45
2117.253376,33
2120.266294,34
2123.279962,42
2126.294379,37
2129.309546,32
2132.325462,39
2135.342127,39
2138.359542,38
2141.377706,36
2144.396619,30
2147.416282,27
2150.436694,39
2153.457856,28
2156.479767,29
2159.502427,38
2162.525837,37
2165.549996,27
2168.574905,28
2171.600563,41
2174.626970,38
2177.654127,42
2180.682033,25
2183.710688,23
2186.740093,32
2189.770248,33
2192.801151,25
2195.832804,32
2198.865207,32
2201.898359,34
2204.932260,35
2207.966910,28
2211.002310,25
2214.038460,24
2217.075359,20
2220.113007,26
2223.151404,25
2226.190551,29
2229.230448,27
2232.271093,28
2235.312488,29
2238.354633,28
2241.397527,25
2244.441170,40
2247.485563,29
2250.530705,28
2253.576596,30
2256.623237,28
2259.670627,32
2262.718767,27
2265.767656,36
2268.817294,36
2271.867682,22
2274.918819,32
2277.970706,36
2281.023342,27
2284.076727,37
2287.130862,31
2290.185746,32
2293.241379,29
2296.297762,39
2299.354895,28
2302.412776,34
2305.471407,23
2308.530788,29
2311.590917,34
2314.651797,28
2317.713425,33
2320.775803,23
2323.838931,22
2326.902807,25
2329.967434,40
2333.032809,39
2336.098934,25
2339.165808,25
2342.233432,25
2345.301805,28
2348.370928,33
2351.440800,27
2354.511421,24
2357.582791,22
2360.654912,20
2363.727781,19
2366.801400,34
2369.875768,34
2372.950886,11
2376.026753,22
2379.103369,17
2382.180735,12
2385.258850,13
2388.337714,24
2391.417328,16
2394.497692,14
2397.578804,13
2400.660666,18
2403.743278,14
2406.826639,6
2409.910749,14
2412.995609,9
2416.081218,13
2419.167576,15
2422.254684,13
2425.342541,8
2428.431148,10
2431.520504,6
2434.610609,12
2437.701464,16
2440.793068,8
2443.885422,10
2446.978524,14
2450.072377,10
2453.166978,11
2456.262330,15
2459.358430,14
2462.455280,11
2465.552879,7
2468.651228,7
2471.750326,7
2474.850173,9
2477.950770,11
2481.052116,5
2484.154212,5
2487.257057,5
2490.360651,4
