flight_key,route,detector_file,track_file,detector_sha256,track_sha256,detector_id,utc_start,utc_end,overlap_start_utc,overlap_end_utc,calibration_manifest_id,analysis_config_version,detector_placement,detector_orientation,aircraft,cabin_location,notes
MSP_MSP-ATL,KMSP-KATL,data/raw/MSP_MSP-ATL.rcspg,,7131B1F5125155955FEDC0DE33450EE890579D74145152DFB1AE056A468E1542,E3FBCDACBFB5CC068234ABDD6C1723E41605F0317F1BDE184FD379C227493828,RC-103-006489,2026-06-21T13:30:43.878Z,2026-06-21T15:51:25.114Z,2026-06-21T13:39:58Z,2026-06-21T15:36:03Z,embedded_rcspg,0.1.0,not recorded,not recorded,not recorded,not recorded,Detector input intentionally public; original FlightAware KML hash retained for provenance but the track file is not distributed.
LGA_ATL-LGA,KATL-KLGA,data/raw/LGA_ATL-LGA.rcspg,,157362C5E14151CD510CA331A151B56052C4A0DFBCC6F638291250B505A5AC21,7DE2E7F75710CE79BFEC394F828E5829C08ACDB60C5B9C26F5F035508DA737A0,RC-103-006489,2026-07-04T00:33:58.918Z,2026-07-04T02:34:12.619Z,2026-07-04T00:40:05Z,2026-07-04T02:33:46Z,embedded_rcspg,0.1.0,not recorded,not recorded,not recorded,not recorded,Detector input intentionally public; original FlightAware KML hash retained for provenance but the track file is not distributed.
LGA_LGA-ATL,KLGA-KATL,data/raw/LGA_LGA-ATL.rcspg,,0A4D7B16964F765E2ED804F23DF0E434BA70A91516257980A5A37AAD23CBE737,BC1D6D98759E979406904074572B936E599B8A9AAD316EE5B177E4191631AAA0,RC-103-006489,2026-07-06T10:54:56.894Z,2026-07-06T12:54:58.141Z,2026-07-06T11:09:29Z,2026-07-06T12:54:07Z,embedded_rcspg,0.1.0,not recorded,not recorded,not recorded,not recorded,Detector input intentionally public; original FlightAware KML hash retained for provenance but the track file is not distributed.
OMA_ATL-OMA,KATL-KOMA,data/raw/OMA_ATL-OMA.rcspg,,8F779541CB9099B682ED850253DBFEC66D2C9D25BAFD8AD0AE9992101165017F,CCEC8FB0C74E8F7F14FACDC5399150EABF40387E74F9DACD748FB0B762E4D3EB,RC-103-006489,2026-08-08T02:24:37.741Z,2026-08-08T04:54:51.819Z,2026-08-08T02:53:36Z,2026-08-08T04:43:25Z,embedded_rcspg,0.1.0,not recorded,not recorded,not recorded,not recorded,Detector input intentionally public; original FlightAware KML hash retained for provenance but the track file is not distributed.
